outcome,backers,category_name,country_name,count(*)
live,0,Fashion,US,4
live,0,"Film & Video",AT,1
live,0,"Film & Video",MX,1
live,0,"Film & Video",US,4
live,0,Games,AT,1
live,0,Games,GB,1
live,0,Games,US,1
live,0,Music,IT,1
live,0,Publishing,US,1
live,0,Technology,ES,1
live,0,Technology,IT,1
live,0,Technology,MX,1
live,0,Technology,US,2
successful,0,"Film & Video","N,0""",2
successful,0,Music,"N,0""",5
suspended,0,Art,US,2
suspended,0,Crafts,US,1
suspended,0,Design,US,3
suspended,0,Fashion,US,1
suspended,0,Food,AU,1
suspended,0,Food,US,2
suspended,0,Games,GB,1
suspended,0,Games,US,2
suspended,0,Music,US,3
suspended,0,Photography,GB,1
suspended,0,Photography,US,2
suspended,0,Publishing,US,2
suspended,0,Technology,NZ,1
suspended,0,Technology,US,1
undefined,0,"Film & Video","N,0""",31
undefined,0,Music,"N,0""",92
undefined,0,Publishing,"N,0""",17
canceled,1,Art,AU,1
canceled,1,Art,BE,1
canceled,1,Art,CA,1
canceled,1,Art,DE,1
canceled,1,Art,ES,1
canceled,1,Art,GB,3
canceled,1,Art,NZ,1
canceled,1,Art,US,7
canceled,1,Comics,CA,1
canceled,1,Comics,GB,1
canceled,1,Comics,US,3
canceled,1,Crafts,GB,2
canceled,1,Crafts,NL,1
canceled,1,Crafts,US,5
canceled,1,Design,CA,1
canceled,1,Design,GB,1
canceled,1,Design,NZ,1
canceled,1,Design,US,8
canceled,1,Fashion,CA,1
canceled,1,Fashion,GB,1
canceled,1,Fashion,MX,1
canceled,1,Fashion,US,7
canceled,1,"Film & Video",CA,2
canceled,1,"Film & Video",US,32
canceled,1,Food,AU,1
canceled,1,Food,CA,2
canceled,1,Food,GB,2
canceled,1,Food,US,9
canceled,1,Games,CA,1
canceled,1,Games,DE,1
canceled,1,Games,ES,1
canceled,1,Games,MX,1
canceled,1,Games,US,11
canceled,1,Journalism,US,5
canceled,1,Music,AU,1
canceled,1,Music,CA,2
canceled,1,Music,NL,1
canceled,1,Music,US,19
canceled,1,Photography,AU,1
canceled,1,Photography,DE,1
canceled,1,Photography,NL,1
canceled,1,Photography,US,2
canceled,1,Publishing,CA,1
canceled,1,Publishing,GB,2
canceled,1,Publishing,US,17
canceled,1,Technology,CA,1
canceled,1,Technology,GB,3
canceled,1,Technology,NL,1
canceled,1,Technology,NO,1
canceled,1,Technology,SE,1
canceled,1,Technology,US,16
canceled,1,Theater,GB,2
canceled,1,Theater,US,1
failed,1,Art,AU,3
failed,1,Art,CA,3
failed,1,Art,GB,15
failed,1,Art,IT,2
failed,1,Art,NL,3
failed,1,Art,SE,2
failed,1,Art,US,70
failed,1,Comics,GB,3
failed,1,Comics,US,11
failed,1,Crafts,CA,2
failed,1,Crafts,GB,2
failed,1,Crafts,US,35
failed,1,Dance,GB,1
failed,1,Dance,US,1
failed,1,Design,AU,1
failed,1,Design,CA,6
failed,1,Design,DE,1
failed,1,Design,GB,6
failed,1,Design,US,36
failed,1,Fashion,AU,5
failed,1,Fashion,CA,1
failed,1,Fashion,ES,3
failed,1,Fashion,GB,11
failed,1,Fashion,HK,1
failed,1,Fashion,IE,1
failed,1,Fashion,NZ,1
failed,1,Fashion,US,73
failed,1,"Film & Video",AT,1
failed,1,"Film & Video",AU,1
failed,1,"Film & Video",CA,6
failed,1,"Film & Video",DE,1
failed,1,"Film & Video",GB,21
failed,1,"Film & Video",IE,1
failed,1,"Film & Video",MX,2
failed,1,"Film & Video",NZ,2
failed,1,"Film & Video",US,153
failed,1,Food,AU,2
failed,1,Food,CA,7
failed,1,Food,CH,1
failed,1,Food,DE,1
failed,1,Food,DK,1
