outcome,campaign_length_in_days,category_name,sub_category_name,total
failed,15,"Film & Video","Film & Video",5
failed,15,"Film & Video",Horror,1
failed,15,"Film & Video",Shorts,3
failed,15,"Film & Video",Webseries,2
failed,15,Food,Events,1
failed,15,Food,Food,7
failed,15,Food,"Small Batch",1
failed,15,Games,"Gaming Hardware",1
failed,15,Games,"Live Games",1
failed,15,Games,"Tabletop Games",1
failed,15,Games,"Video Games",1
failed,15,Journalism,Print,1
failed,15,Music,Hip-Hop,1
failed,15,Music,Jazz,1
failed,15,Music,Music,2
failed,15,Music,Pop,4
failed,15,Music,Punk,1
failed,15,Photography,Nature,2
failed,15,Photography,People,2
failed,15,Photography,Photography,1
failed,15,Publishing,Academic,1
failed,15,Publishing,"Art Books",1
failed,15,Publishing,Calendars,1
failed,15,Publishing,"Children's Books",2
failed,15,Publishing,Fiction,1
failed,15,Publishing,Nonfiction,3
failed,15,Publishing,Publishing,2
failed,15,Technology,Technology,4
failed,15,Technology,Web,1
failed,15,Theater,Experimental,1
failed,15,Theater,Musical,1
failed,15,Theater,Theater,1
failed,16,Art,Illustration,1
failed,16,Art,Painting,2
failed,16,Comics,"Comic Books",1
failed,16,Comics,Comics,2
failed,16,Design,"Civic Design",1
failed,16,Design,Design,1
failed,16,Fashion,Accessories,1
failed,16,"Film & Video",Comedy,1
failed,16,"Film & Video",Documentary,2
failed,16,"Film & Video","Narrative Film",1
failed,16,"Film & Video",Webseries,1
failed,16,Food,Food,3
failed,16,Games,"Tabletop Games",1
failed,16,Journalism,Journalism,1
failed,16,Music,"Country & Folk",1
failed,16,Music,"Indie Rock",1
failed,16,Photography,Photography,1
failed,16,Publishing,Fiction,1
failed,16,Publishing,Nonfiction,4
failed,16,Theater,Theater,1
failed,17,Art,"Conceptual Art",1
failed,17,Art,"Mixed Media",1
failed,17,Comics,Comics,1
failed,17,Crafts,Crafts,1
failed,17,Fashion,Accessories,1
failed,17,Fashion,Apparel,1
failed,17,Fashion,Fashion,2
failed,17,Fashion,Ready-to-wear,1
failed,17,"Film & Video",Documentary,1
failed,17,"Film & Video","Narrative Film",1
failed,17,"Film & Video",Television,1
failed,17,Music,"Indie Rock",1
failed,17,Music,Music,2
failed,17,Music,Rock,1
failed,17,Publishing,Nonfiction,1
failed,17,Publishing,Publishing,1
failed,17,Technology,Technology,1
failed,18,Art,Art,2
failed,18,Art,Painting,1
failed,18,Art,"Performance Art",1
failed,18,Design,"Product Design",1
failed,18,Fashion,Fashion,1
failed,18,"Film & Video",Comedy,1
failed,18,"Film & Video",Documentary,2
failed,18,"Film & Video","Narrative Film",1
failed,18,Food,"Farmer's Markets",1
failed,18,Food,Food,1
failed,18,Games,Games,1
failed,18,Games,"Tabletop Games",1
failed,18,Journalism,Journalism,1
failed,18,Music,Pop,1
failed,18,Publishing,Publishing,1
failed,18,Technology,Technology,1
failed,19,Art,Art,3
failed,19,Art,"Conceptual Art",1
failed,19,Art,"Mixed Media",1
failed,19,Comics,"Comic Books",1
failed,19,Fashion,Apparel,1
failed,19,"Film & Video",Comedy,1
failed,19,"Film & Video",Documentary,1
failed,19,"Film & Video","Film & Video",1
failed,19,"Film & Video",Shorts,1
failed,19,Games,"Video Games",1
failed,19,Journalism,Journalism,1
failed,19,Photography,Photography,2
failed,19,Publishing,Publishing,1
failed,19,Technology,Technology,2
failed,19,Technology,Web,1
failed,19,Theater,Plays,1
failed,20,Art,Art,3
failed,20,Art,"Digital Art",1
failed,20,Art,Illustration,1
failed,20,Art,Painting,2
failed,20,Art,"Public Art",1
failed,20,Comics,Comics,1
failed,20,Crafts,Crafts,4
failed,20,Crafts,DIY,1
failed,20,Crafts,Quilts,1
failed,20,Dance,Dance,1
failed,20,Dance,Performances,1
failed,20,Design,"Product Design",2
failed,20,Fashion,Accessories,2
failed,20,Fashion,Apparel,1
failed,20,Fashion,Childrenswear,1
failed,20,Fashion,Fashion,3
failed,20,"Film & Video",Animation,1
failed,20,"Film & Video",Documentary,1
failed,20,"Film & Video",Family,1
failed,20,"Film & Video","Film & Video",1
failed,20,"Film & Video","Narrative Film",3
failed,20,"Film & Video",Shorts,2
failed,20,Food,Food,3
failed,20,Games,Games,1
failed,20,Games,"Live Games",1
failed,20,Games,"Video Games",2
failed,20,Journalism,Journalism,1
failed,20,Music,Hip-Hop,2
failed,20,Music,"Indie Rock",1
failed,20,Music,Music,4
failed,20,Music,Rock,3
failed,20,Photography,People,2
failed,20,Photography,Photography,5
failed,20,Publishing,"Children's Books",1
failed,20,Publishing,Fiction,3
failed,20,Publishing,Nonfiction,4
failed,20,Publishing,Publishing,1
failed,20,Publishing,"Radio & Podcasts",1
failed,20,Technology,Apps,1
failed,20,Technology,Hardware,1
failed,20,Technology,Software,1
failed,20,Technology,Technology,1
failed,20,Technology,Web,1
failed,20,Theater,Festivals,1
failed,20,Theater,Theater,1
failed,21,Art,Art,1
failed,21,Art,"Conceptual Art",2
failed,21,Art,"Mixed Media",1
failed,21,Art,Painting,1
failed,21,Art,Sculpture,1
failed,21,Crafts,Candles,1
failed,21,Crafts,Crafts,2
failed,21,Crafts,Crochet,1
failed,21,Design,"Product Design",9
failed,21,Fashion,Apparel,3
failed,21,Fashion,Fashion,4
failed,21,"Film & Video",Action,1
failed,21,"Film & Video",Documentary,4
failed,21,"Film & Video",Drama,1
failed,21,"Film & Video","Film & Video",1
failed,21,"Film & Video",Shorts,3
failed,21,"Film & Video",Television,1
failed,21,"Film & Video",Thrillers,1
failed,21,"Film & Video",Webseries,4
failed,21,Food,Cookbooks,1
failed,21,Food,Drinks,1
failed,21,Food,Food,1
failed,21,Food,Restaurants,1
failed,21,Food,"Small Batch",1
failed,21,Games,"Playing Cards",1
failed,21,Games,"Tabletop Games",1
failed,21,Games,"Video Games",4
failed,21,Music,"Electronic Music",1
failed,21,Music,Faith,1
failed,21,Music,Music,5
failed,21,Photography,Photography,1
failed,21,Publishing,Fiction,5
failed,21,Publishing,Nonfiction,4
failed,21,Technology,"DIY Electronics",1
failed,21,Technology,Hardware,1
failed,21,Technology,Technology,2
failed,21,Technology,Web,1
failed,21,Theater,Theater,3
failed,22,Art,"Mixed Media",1
failed,22,Art,Painting,1
failed,22,Art,"Performance Art",1
failed,22,Fashion,Fashion,1
failed,22,"Film & Video",Documentary,1
failed,22,"Film & Video","Narrative Film",1
failed,22,"Film & Video",Shorts,3
failed,22,"Film & Video",Webseries,1
failed,22,Food,Food,2
failed,22,Food,"Food Trucks",1
failed,22,Music,"Indie Rock",2
failed,22,Music,Rock,1
failed,22,Music,"World Music",2
failed,22,Photography,Photography,2
failed,22,Publishing,"Children's Books",1
failed,22,Publishing,Fiction,1
failed,22,Publishing,Nonfiction,2
failed,22,Theater,Theater,2
failed,23,Art,Art,2
failed,23,Art,"Conceptual Art",1
failed,23,Crafts,Woodworking,1
failed,23,Design,Design,1
failed,23,Design,"Graphic Design",1
failed,23,Fashion,Apparel,1
failed,23,Fashion,Fashion,1
failed,23,"Film & Video",Documentary,1
failed,23,"Film & Video","Film & Video",2
failed,23,"Film & Video",Shorts,2
failed,23,"Film & Video",Television,1
failed,23,"Film & Video",Webseries,2
failed,23,Food,Food,2
failed,23,Food,Spaces,1
failed,23,Games,"Tabletop Games",1
failed,23,Journalism,Journalism,1
failed,23,Music,"Country & Folk",1
failed,23,Music,Hip-Hop,2
failed,23,Music,Music,1
failed,23,Music,Pop,2
failed,23,Photography,Photography,2
failed,23,Publishing,Publishing,1
failed,23,Technology,Technology,1
failed,23,Theater,Musical,1
failed,23,Theater,Theater,1
failed,24,Art,Art,1
failed,24,Art,Illustration,1
failed,24,Art,Painting,1
failed,24,Comics,Comics,1
failed,24,Crafts,Crafts,1
failed,24,Design,"Product Design",1
failed,24,Fashion,Childrenswear,1
failed,24,Fashion,Fashion,1
failed,24,"Film & Video","Film & Video",4
failed,24,"Film & Video","Narrative Film",2
failed,24,"Film & Video",Shorts,3
failed,24,Games,"Mobile Games",1
failed,24,Games,"Tabletop Games",2
failed,24,Music,Hip-Hop,1
failed,24,Music,"Indie Rock",1
failed,24,Music,Music,1
failed,24,Music,Rock,2
failed,24,Photography,Photography,1
failed,24,Publishing,"Children's Books",2
failed,24,Publishing,Fiction,2
failed,24,Publishing,Nonfiction,1
failed,24,Publishing,Publishing,1
failed,24,Publishing,"Radio & Podcasts",2
failed,24,Technology,Hardware,1
failed,24,Technology,Technology,2
failed,25,Art,Art,3
failed,25,Art,"Digital Art",1
failed,25,Art,Illustration,1
failed,25,Art,"Mixed Media",1
failed,25,Art,Painting,1
failed,25,Art,"Public Art",1
failed,25,Comics,Comics,3
failed,25,Crafts,Crafts,2
failed,25,Dance,Dance,1
failed,25,Design,Design,1
failed,25,Design,"Product Design",5
failed,25,Fashion,Apparel,1
failed,25,Fashion,Childrenswear,1
failed,25,Fashion,Fashion,1
failed,25,"Film & Video",Documentary,3
failed,25,"Film & Video",Drama,2
failed,25,"Film & Video","Narrative Film",1
failed,25,"Film & Video",Shorts,1
failed,25,"Film & Video",Webseries,2
failed,25,Food,Bacon,1
failed,25,Food,Drinks,1
failed,25,Food,Food,5
failed,25,Food,"Small Batch",1
failed,25,Games,Games,1
failed,25,Games,"Mobile Games",2
failed,25,Games,"Tabletop Games",1
failed,25,Games,"Video Games",2
failed,25,Journalism,Journalism,1
failed,25,Music,"Country & Folk",1
failed,25,Music,Hip-Hop,3
failed,25,Music,Music,2
failed,25,Music,Pop,2
failed,25,Music,Rock,1
failed,25,Music,"World Music",2
failed,25,Photography,"Fine Art",1
failed,25,Photography,Nature,1
failed,25,Photography,Photobooks,1
failed,25,Photography,Photography,2
failed,25,Publishing,Academic,1
failed,25,Publishing,Fiction,3
failed,25,Publishing,Nonfiction,1
failed,25,Publishing,Poetry,1
failed,25,Publishing,Publishing,1
failed,25,Technology,Apps,2
failed,25,Technology,"Camera Equipment",1
failed,25,Technology,Hardware,1
failed,25,Technology,Software,2
failed,25,Technology,Technology,3
failed,25,Technology,Web,2
failed,25,Theater,Theater,1
failed,26,Art,Art,2
failed,26,Art,Painting,1
failed,26,Art,"Performance Art",1
failed,26,Crafts,Crafts,1
failed,26,Design,"Product Design",2
failed,26,Fashion,Couture,1
failed,26,Fashion,Fashion,3
failed,26,Fashion,Jewelry,1
failed,26,"Film & Video",Documentary,3
failed,26,"Film & Video","Narrative Film",1
failed,26,"Film & Video",Shorts,3
failed,26,Food,"Community Gardens",1
failed,26,Food,Food,1
failed,26,Food,"Food Trucks",2
failed,26,Food,Restaurants,1
failed,26,Food,"Small Batch",1
failed,26,Games,"Tabletop Games",1
failed,26,Music,"Electronic Music",1
failed,26,Music,"Indie Rock",1
failed,26,Music,Music,3
failed,26,Music,Pop,1
failed,26,Photography,Photography,1
failed,26,Publishing,"Children's Books",2
failed,26,Publishing,Fiction,1
failed,26,Publishing,Periodicals,1
failed,26,Technology,Hardware,1
failed,26,Technology,Technology,1
failed,26,Theater,Plays,1
failed,26,Theater,Theater,2
failed,27,Art,Art,1
failed,27,Crafts,Crafts,1
failed,27,Dance,Dance,2
failed,27,Design,Architecture,1
failed,27,Design,"Product Design",1
failed,27,Fashion,Fashion,1
failed,27,"Film & Video",Animation,1
failed,27,"Film & Video",Documentary,2
failed,27,"Film & Video",Family,1
failed,27,"Film & Video","Film & Video",1
failed,27,"Film & Video","Movie Theaters",1
failed,27,Food,Restaurants,1
failed,27,Games,Games,1
failed,27,Games,"Video Games",1
failed,27,Music,"Classical Music",2
failed,27,Music,Hip-Hop,3
failed,27,Music,Rock,1
failed,27,Publishing,"Children's Books",1
failed,27,Publishing,Fiction,1
failed,27,Publishing,Nonfiction,2
failed,27,Publishing,Poetry,1
failed,27,Publishing,Publishing,2
failed,27,Technology,Hardware,1
failed,27,Technology,Technology,1
failed,27,Theater,Plays,1
failed,28,Art,Art,1
failed,28,Art,"Conceptual Art",1
failed,28,Art,Illustration,3
failed,28,Art,Painting,1
failed,28,Comics,"Comic Books",1
failed,28,Crafts,Crafts,2
failed,28,Design,"Product Design",4
failed,28,Fashion,Accessories,4
failed,28,Fashion,Couture,1
failed,28,Fashion,Fashion,5
failed,28,"Film & Video",Animation,1
failed,28,"Film & Video",Comedy,2
failed,28,"Film & Video",Documentary,2
failed,28,"Film & Video","Film & Video",2
failed,28,"Film & Video","Narrative Film",1
failed,28,"Film & Video",Webseries,2
failed,28,Food,Restaurants,2
failed,28,Food,"Small Batch",1
failed,28,Games,"Tabletop Games",2
failed,28,Games,"Video Games",3
failed,28,Music,Hip-Hop,2
failed,28,Music,"Indie Rock",1
failed,28,Music,Music,2
failed,28,Music,Pop,1
failed,28,Music,Rock,2
failed,28,Publishing,"Art Books",1
failed,28,Publishing,"Children's Books",2
failed,28,Publishing,Fiction,1
failed,28,Publishing,Nonfiction,3
failed,28,Publishing,Periodicals,2
failed,28,Technology,Apps,4
failed,28,Technology,Gadgets,1
failed,28,Technology,Software,2
failed,28,Technology,Technology,2
failed,28,Theater,Theater,2
failed,29,Art,Art,4
failed,29,Art,Ceramics,1
failed,29,Art,Painting,1
failed,29,Comics,"Comic Books",2
failed,29,Comics,Comics,2
failed,29,Design,"Graphic Design",1
failed,29,Design,"Interactive Design",1
failed,29,Design,"Product Design",3
failed,29,Fashion,Apparel,3
failed,29,Fashion,Jewelry,1
failed,29,Fashion,Ready-to-wear,1
failed,29,"Film & Video",Comedy,2
failed,29,"Film & Video",Documentary,3
failed,29,"Film & Video","Film & Video",5
failed,29,"Film & Video","Movie Theaters",1
failed,29,"Film & Video","Narrative Film",1
failed,29,"Film & Video",Shorts,1
failed,29,"Film & Video",Webseries,2
failed,29,Food,Cookbooks,1
failed,29,Food,Drinks,2
failed,29,Food,Farms,1
failed,29,Food,"Food Trucks",1
failed,29,Food,Restaurants,1
failed,29,Games,"Live Games",1
failed,29,Games,"Playing Cards",2
failed,29,Games,"Tabletop Games",1
failed,29,Games,"Video Games",2
failed,29,Music,"Country & Folk",2
failed,29,Music,"Electronic Music",1
failed,29,Music,Hip-Hop,1
failed,29,Music,"Indie Rock",1
failed,29,Music,Music,2
failed,29,Music,R&B,1
failed,29,Music,Rock,1
failed,29,Music,"World Music",1
failed,29,Photography,Photography,3
failed,29,Publishing,"Children's Books",1
failed,29,Publishing,Fiction,2
failed,29,Publishing,Nonfiction,4
failed,29,Publishing,"Radio & Podcasts",1
failed,29,Publishing,"Young Adult",2
failed,29,Technology,"3D Printing",1
failed,29,Technology,Apps,3
failed,29,Technology,"DIY Electronics",1
failed,29,Technology,Software,1
failed,29,Technology,Sound,1
failed,29,Technology,Technology,2
failed,29,Technology,Wearables,1
failed,29,Theater,Experimental,1
failed,30,Art,Art,61
failed,30,Art,Ceramics,2
failed,30,Art,"Conceptual Art",2
failed,30,Art,"Digital Art",13
failed,30,Art,Illustration,18
failed,30,Art,Installations,1
failed,30,Art,"Mixed Media",20
failed,30,Art,Painting,19
failed,30,Art,"Performance Art",15
failed,30,Art,"Public Art",16
failed,30,Art,Sculpture,11
failed,30,Art,Textiles,2
failed,30,Art,"Video Art",2
failed,30,Comics,Anthologies,4
failed,30,Comics,"Comic Books",23
failed,30,Comics,Comics,34
failed,30,Comics,"Graphic Novels",10
failed,30,Comics,Webcomics,1
failed,30,Crafts,Candles,4
failed,30,Crafts,Crafts,50
failed,30,Crafts,Crochet,1
failed,30,Crafts,DIY,14
failed,30,Crafts,Embroidery,2
failed,30,Crafts,Glass,2
failed,30,Crafts,Pottery,1
failed,30,Crafts,Printing,2
failed,30,Crafts,Quilts,1
failed,30,Crafts,Weaving,2
failed,30,Crafts,Woodworking,11
failed,30,Dance,Dance,6
failed,30,Dance,Performances,4
failed,30,Design,Architecture,8
failed,30,Design,"Civic Design",4
failed,30,Design,Design,25
failed,30,Design,"Graphic Design",12
failed,30,Design,"Interactive Design",4
failed,30,Design,"Product Design",164
failed,30,Fashion,Accessories,29
failed,30,Fashion,Apparel,65
failed,30,Fashion,Childrenswear,4
failed,30,Fashion,Couture,5
failed,30,Fashion,Fashion,85
failed,30,Fashion,Footwear,6
failed,30,Fashion,Jewelry,13
failed,30,Fashion,Ready-to-wear,6
failed,30,"Film & Video",Action,8
failed,30,"Film & Video",Animation,23
